"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"88" 87 52 100 51 21 10 52 44 15 78 10 57
"89" 86 17 14 11 26 47 97 5 25 29 95 69
"90" 66 44 15 75 10 43 30 51 83 83 31 51
"91" 71 20 114 66 18 92 23 88 67 88 76 101
"92" 49 43 46 3 98 4 98 68 45 43 46 24
"93" 60 24 34 35 103 49 7 22 94 16 108 14
"94" 51 56 38 49 114 118 44 87 92 110 5 98
"95" 28 99 69 67 49 45 69 23 9 120 103 49
"96" 112 117 17 41 85 70 18 32 72 115 3 8
"97" 98 64 24 60 111 19 65 29 26 69 36 5
"98" 47 32 115 107 42 50 83 33 22 46 30 105
"99" 78 101 7 68 47 3 54 16 118 14 40 64
"100" 34 76 101 27 48 96 111 85 58 15 32 3
"101" 111 48 97 42 74 38 107 102 116 50 53 50
"102" 74 95 22 92 83 36 117 86 17 53 111 21
"103" 12 70 16 69 104 28 81 109 31 48 71 92
"104" 107 104 110 23 57 1 77 108 93 94 79 22
"105" 79 57 80 82 45 99 96 81 33 99 107 60
"106" 114 84 27 85 70 9 93 61 71 32 66 81
"107" 53 103 66 47 94 62 114 2 52 26 42 87
"108" 77 106 56 63 78 107 35 67 59 66 68 31
"109" 4 39 48 62 50 46 4 83 104 70 19 103
"110" 32 49 63 97 59 18 38 73 19 30 4 88
"111" 40 74 99 91 113 60 33 47 69 24 106 43
"112" 57 47 103 100 96 109 61 71 119 90 117 6
"113" 69 120 95 2 5 25 45 14 3 105 70 1
"114" 96 69 62 14 33 94 27 9 97 52 6 18
"115" 80 3 104 117 30 59 70 75 91 65 49 86
"116" 81 83 90 114 116 44 105 107 43 10 7 11
"117" 82 10 67 29 51 33 32 25 32 85 51 27
"118" 75 37 109 25 106 85 55 4 35 114 20 46
"119" 92 92 37 81 28 110 31 95 7 44 21 109
"120" 89 13 61 71 110 63 110 114 75 75 100 2
